,Mom   ,Mkt-RF,SMB,HML,RMW,CMA,RF,CPIAUCSL,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
2012-12-10,-0.31,0.11,0.42,-0.05,-0.1,-0.02,0.001,-0.0016807561740774801,-0.005710024836771854,-0.0011062720472465593,-0.0011187169318280787,-0.0024979763904644514,0.00419079233906805,0.005055314657749221,0.006359742003436253,0.002430384553765652,0.0002819148822932327
2012-12-11,-0.31,0.68,0.41,-0.08,-0.32,-0.23,0.001,-0.0016807561740774801,0.0031759916488338646,0.000553289003345725,0.005858799750491972,0.004990641370605342,0.010522562073008945,0.0021210378049745238,0.00796134259231529,0.013432054366133706,0.0022531807503418655
2012-12-12,-0.19,-0.02,-0.65,0.52,-0.31,0.21,0.001,-0.0016807561740774801,0.001268005079591017,-0.0022144155866041793,0.0036095400242488473,0.004346314024919806,-0.0014616656536836636,0.0015876423013456709,-0.002463932482393183,-0.0017119261814455555,-0.001689189590845075
2012-12-13,-0.15,-0.58,0.09,0.07,0.1,0.12,0.001,-0.0016807561740774801,-0.006567035741616767,-0.0016646161904287915,-0.009328585644889476,-0.0049689436826798605,-0.008569228565486586,-0.0031785041405720804,-0.0027449608062819486,-0.007223088110903664,-0.0039528685980441125
2012-12-14,-0.45,-0.34,0.31,0.23,-0.17,0.33,0.001,-0.0016807561740774801,-0.0042599297094652044,-0.0016669556274702124,-0.003783777870955518,-0.0037429323824023086,-0.0039413829838022,-0.0021238485770878057,0.00739464903377085,-0.009712091207100482,-0.003968314064343392
2012-12-17,0.75,1.16,0.0,0.62,-0.43,0.06,0.001,-0.0016807561740774801,0.017770414505794196,0.0022218696980442765,0.009085567577594933,0.02041502797264494,0.007867745158854689,0.00926062251671933,0.010044642430533823,0.012125640480386224,0.01522037932962661
2012-12-18,-0.41,1.2,0.38,0.08,0.11,-0.59,0.001,-0.0016807561740774801,0.011674624945402279,-0.000277382270450488,0.018199653223962997,0.014589983391253725,0.00780711276148871,0.012821944534525453,0.01181553961860482,0.014698572366205198,0.006968696320804213
2012-12-19,-0.08,-0.6,0.62,0.27,-0.02,-0.25,0.001,-0.0016807561740774801,-0.007072054324156696,-0.010041822944413692,-0.0068549408992630845,-0.00605331901948869,-0.010750182759483806,-0.00547487608509023,-0.004280554857605701,-0.005102745625719329,-0.007528187611129944
2012-12-20,0.19,0.53,-0.16,0.75,-0.43,0.21,0.001,-0.0016807561740774801,0.002084970162672395,0.005591388844231826,0.006718352911101899,0.013868080823419504,0.0014730144224097685,0.0052148757640444465,0.009605512580889375,0.0017039885026153279,0.0030736521997507538
2012-12-21,-0.2,-0.88,0.44,-0.27,0.23,-0.15,0.001,-0.0016807561740774801,-0.00892771381089874,-0.008550462996266273,-0.010202015206172366,-0.011880103600486969,-0.008445147922551133,-0.006307248589194181,-0.008879581082573917,-0.00866698151788059,-0.003674533014557557
